"Neighborhood","Source","Liv_Area","Total_bedrooms","Sale_Price"
"San Francisco","California",204,4,285400
"San Francisco","California",141,4,257300
"San Diego","California",590,5,300400
"San Diego","California",468,5,231300
"Sacramento","California",63,4,475800
"Sacramento","California",561,2,184400
"Fresno","California",640,3,174600
"San Diego","California",147,4,204400
"Fresno","California",855,3,209400
"San Jose","California",287,5,117600
"Sacramento","California",606,4,97900
"San Diego","California",375,3,140600
"Santa Ana","California",654,3,119000
"Sacramento","California",947,4,129200
"San Francisco","California",655,3,111700
"San Francisco","California",597,4,116700
"San Diego","California",86,4,121300
"Oakland","California",669,2,107200
"Santa Ana","California",1232,3,89900
"Long Beach","California",275,5,87300
"San Diego","California",168,2,125200
"San Francisco","California",813,4,116300
"San Francisco","California",542,2,179200
"Los Angeles","California",633,4,69000
"Long Beach","California",389,4,78700
"Santa Ana","California",662,4,66300
"Los Angeles","California",1086,4,141300
"San Francisco","California",242,2,117900
"Long Beach","California",589,4,110200
"Fresno","California",199,3,103800
"Los Angeles","California",830,4,85000
"Los Angeles","California",161,2,126100
"San Francisco","California",120,5,85700
"Los Angeles","California",304,4,53600
"Los Angeles","California",288,2,142300
"Long Beach","California",1393,4,91200
"Los Angeles","California",702,5,59800
"Santa Ana","California",1472,2,88900
"Santa Ana","California",163,3,96200
"San Francisco","California",91,5,73800
"Santa Ana","California",463,4,86300
"Fresno","California",544,5,56000
"Santa Ana","California",450,2,79900
"Bakersfield","California",111,5,133000
"Santa Ana","California",417,4,90400
"San Jose","California",166,3,86600
"Sacramento","California",143,2,139900
"Bakersfield","California",366,5,155800
"Oakland","California",114,3,111500
"Los Angeles","California",405,4,68800
"Fresno","California",386,2,75000
"Los Angeles","California",207,2,129700
"Santa Ana","California",103,2,263100
"San Diego","California",440,3,156700
"Bakersfield","California",275,4,253900
"San Francisco","California",132,3,127000
"Fresno","California",208,4,130800
"San Jose","California",718,3,150800
"Bakersfield","California",204,3,133400
"Bakersfield","California",708,4,142500
"Fresno","California",509,2,142600
"San Francisco","California",206,5,108500
"Bakersfield","California",770,4,178600
"San Diego","California",362,4,67500
"Santa Ana","California",250,3,99400
"Bakersfield","California",492,5,101400
"San Jose","California",547,3,94600
"Fresno","California",475,3,170500
"Bakersfield","California",386,5,174200
"Oakland","California",122,5,122200
"Fresno","California",448,4,136000
"Long Beach","California",670,2,162200
"San Francisco","California",858,4,100700
"San Jose","California",555,4,129800
"Santa Ana","California",161,4,83500
"San Jose","California",197,3,156900
"Santa Ana","California",654,2,165900
"Santa Ana","California",347,2,133900
"San Francisco","California",124,4,225000
"Fresno","California",703,3,166000
"San Jose","California",380,4,139300
"Long Beach","California",448,4,150800
"Fresno","California",147,5,196100
"Bakersfield","California",404,3,129400
"Fresno","California",127,4,166400
"San Diego","California",365,4,159700
"Oakland","California",298,5,212600
"Long Beach","California",335,3,294100
"Bakersfield","California",396,4,225400
"San Jose","California",90,2,197100
"Oakland","California",152,3,186400
"San Francisco","California",682,2,190000
"San Jose","California",365,2,182000
"Oakland","California",558,5,235700
"Los Angeles","California",755,5,220800
"Fresno","California",288,2,233200
"Los Angeles","California",116,3,273200
"Santa Ana","California",1138,4,140600
"Bakersfield","California",709,3,148900
"Sacramento","California",165,2,194000
"Oakland","California",313,2,184000
"Long Beach","California",308,5,259500
"Santa Ana","California",203,5,229200
"Long Beach","California",177,4,190700
"Fresno","California",747,4,265900
"Sacramento","California",791,4,106300
"San Diego","California",681,3,151800
"Oakland","California",283,2,182000
"San Diego","California",109,2,162500
"San Diego","California",569,5,266500
"San Diego","California",310,4,184900
"Long Beach","California",640,2,292500
"San Jose","California",1278,4,306900
"Bakersfield","California",560,3,266800
"Santa Ana","California",126,3,283900
"Los Angeles","California",166,3,271000
"San Diego","California",969,5,335700
"Long Beach","California",389,2,269800
"San Francisco","California",73,5,345800
"Los Angeles","California",681,2,343700
"Long Beach","California",824,2,356700
"Long Beach","California",563,4,432400
"Long Beach","California",182,4,434700
"Fresno","California",890,5,294800
"San Jose","California",210,3,257100
"Sacramento","California",408,5,99400
"Los Angeles","California",282,4,85000
"Sacramento","California",230,2,370200
"Bakersfield","California",594,5,404300
"San Francisco","California",148,5,399700
"San Francisco","California",376,2,401800
"Long Beach","California",832,4,485400
"Santa Ana","California",344,5,285400
"Fresno","California",863,3,353600
"Bakersfield","California",451,5,365800
"Santa Ana","California",711,4,205100
"Long Beach","California",436,2,310700
"Long Beach","California",286,4,171100
"Santa Ana","California",91,5,147100
"San Diego","California",669,2,134500
"Fresno","California",605,4,195000
"Fresno","California",1061,3,184800
"Long Beach","California",707,5,269400
"Los Angeles","California",1275,4,237700
"San Francisco","California",720,2,190000
"Bakersfield","California",161,4,161000
"Long Beach","California",651,3,173500
"Los Angeles","California",777,5,175000
"Fresno","California",520,3,80400
"Santa Ana","California",662,3,81300
"San Francisco","California",134,2,156600
"Los Angeles","California",196,4,133700
"Santa Ana","California",563,3,103600
"Fresno","California",132,4,144600
"Fresno","California",240,4,111700
"Fresno","California",844,2,114600
"Long Beach","California",137,3,145500
"Bakersfield","California",771,3,143900
"San Jose","California",635,4,105200
"Fresno","California",610,3,269800
"Long Beach","California",668,2,275000
"Oakland","California",597,4,95000
"San Francisco","California",159,3,91500
"Santa Ana","California",980,5,86100
"Sacramento","California",158,3,104200
"Los Angeles","California",247,2,111500
"Santa Ana","California",109,5,156300
"Los Angeles","California",743,4,140600
"Oakland","California",498,3,167800
"Bakersfield","California",447,5,247300
"Oakland","California",323,4,267700
"Long Beach","California",329,2,22500
"Sacramento","California",851,2,212200
"Santa Ana","California",775,4,311400
"San Francisco","California",414,2,263200
"Bakersfield","California",787,4,333700
"San Jose","California",110,3,324400
"Long Beach","California",721,3,315500
"Los Angeles","California",650,2,331200
"Sacramento","California",193,4,103100
"Santa Ana","California",576,2,152700
"San Diego","California",108,5,71100
"Fresno","California",159,5,87500
"Los Angeles","California",358,2,85800
"Oakland","California",88,2,90400
"Sacramento","California",192,3,117700
"Oakland","California",762,2,500001
"Fresno","California",524,3,95500
"Oakland","California",141,3,239600
"Los Angeles","California",608,2,173400
"Oakland","California",463,2,187900
"Santa Ana","California",165,4,180800
"Sacramento","California",89,2,207600
"Los Angeles","California",1029,3,196300
"Los Angeles","California",441,5,167400
"San Jose","California",494,3,150900
"Long Beach","California",617,5,140200
"Santa Ana","California",716,4,126400
"Long Beach","California",105,3,162500
"San Jose","California",96,3,138500
"Fresno","California",899,3,56700
"Los Angeles","California",97,3,47500
"Bakersfield","California",779,5,59200
"Fresno","California",545,3,43800
"Long Beach","California",406,2,62100
"Santa Ana","California",329,5,51300
"Sacramento","California",226,2,52500
"Long Beach","California",448,5,44400
"Long Beach","California",688,4,52100
"San Francisco","California",658,4,120300
"Bakersfield","California",84,5,121600
"San Diego","California",756,3,153800
"Sacramento","California",103,2,91600
"Long Beach","California",316,3,92300
"San Diego","California",96,2,89500
"San Jose","California",447,4,61200
"Sacramento","California",1030,3,67300
"San Diego","California",163,3,57100
"San Francisco","California",216,3,54200
"Long Beach","California",720,2,69200
"Oakland","California",670,5,59000
"Oakland","California",550,3,56000
"San Jose","California",439,3,69100
"San Jose","California",403,5,55600
"San Francisco","California",155,3,51300
"San Diego","California",341,2,64700
"Los Angeles","California",600,4,87500
"San Diego","California",436,4,88300
"Bakersfield","California",175,3,85700
"Bakersfield","California",91,5,73000
"Bakersfield","California",292,4,70700
"Sacramento","California",966,2,67700
"Long Beach","California",834,4,73000
"Fresno","California",738,5,85000
"Sacramento","California",320,5,80400
"San Jose","California",135,2,84500
"San Diego","California",590,4,79700
"Sacramento","California",545,4,74500
"Santa Ana","California",576,2,69000
"San Jose","California",387,3,71800
"Sacramento","California",89,2,83200
"Long Beach","California",673,2,60400
"San Diego","California",589,4,160300
"Los Angeles","California",823,3,119300
"San Diego","California",200,3,88800
"San Jose","California",409,2,67900
"Los Angeles","California",1597,5,213900
"San Francisco","California",909,3,123000
"Sacramento","California",496,3,150900
"San Diego","California",170,4,123600
"Sacramento","California",909,2,124400
"Santa Ana","California",82,4,94400
"San Francisco","California",359,4,119300
"Fresno","California",470,4,160100
"Sacramento","California",459,2,99500
"San Diego","California",786,3,67000
"Bakersfield","California",641,4,67500
"San Jose","California",815,4,96500
"Long Beach","California",381,2,78800
"Bakersfield","California",77,5,69400
"Santa Ana","California",97,4,99600
"Sacramento","California",206,2,71400
"San Diego","California",737,2,68000
"Long Beach","California",202,3,113400
"Sacramento","California",401,4,69700
"Fresno","California",177,3,72800
"San Francisco","California",871,5,72200
"San Diego","California",1237,4,52500
"Sacramento","California",956,4,100200
"Los Angeles","California",1349,2,54600
"Sacramento","California",1160,4,113700
"San Jose","California",171,2,123300
"San Diego","California",667,4,106200
"Sacramento","California",546,3,130600
"Sacramento","California",122,3,84800
"Fresno","California",474,4,72900
"Sacramento","California",462,2,83900
"Oakland","California",198,3,55800
"Long Beach","California",925,3,93800
"San Jose","California",635,4,90500
"Sacramento","California",191,2,92200
"Santa Ana","California",682,4,55200
"Fresno","California",499,2,91600
"Sacramento","California",485,4,60900
"Fresno","California",237,5,56700
"Los Angeles","California",455,5,66100
"Bakersfield","California",728,3,87300
"Bakersfield","California",504,3,84200
"Fresno","California",416,2,56900
"Fresno","California",832,2,73100
"San Francisco","California",229,4,68300
"Fresno","California",659,3,55300
"Sacramento","California",952,4,53000
"Oakland","California",909,3,120900
"San Francisco","California",982,4,95700
"Los Angeles","California",970,3,72500
"Sacramento","California",172,2,83600
"San Diego","California",788,2,78200
"Bakersfield","California",421,3,60000
"Sacramento","California",381,4,74600
"Santa Ana","California",140,5,76400
"Long Beach","California",380,2,58400
"San Francisco","California",116,2,60900
"San Diego","California",184,5,55000
"San Diego","California",440,5,65000
"Santa Ana","California",827,5,85300
"Los Angeles","California",404,5,60400
"San Diego","California",492,4,76600
"San Jose","California",303,3,66000
"San Diego","California",93,5,90600
"Santa Ana","California",512,5,57200
"San Francisco","California",265,3,38800
"Fresno","California",1209,4,55200
"San Francisco","California",541,4,63000
"Fresno","California",104,3,85400
"Bakersfield","California",184,2,67500
"San Francisco","California",640,4,81600
"Bakersfield","California",885,4,71000
"San Francisco","California",179,4,125000
"San Francisco","California",526,2,77100
"Santa Ana","California",272,2,85600
"Los Angeles","California",87,5,67000
"Bakersfield","California",417,3,82800
"Bakersfield","California",405,5,72600
"San Diego","California",214,4,74100
"Oakland","California",1079,4,86400
"San Francisco","California",114,3,96100
"Santa Ana","California",158,4,101100
"Los Angeles","California",107,4,79800
"Long Beach","California",240,5,50000
"Los Angeles","California",272,4,96000
"Bakersfield","California",816,5,73600
"Sacramento","California",347,5,119700
"San Francisco","California",133,5,79600
"San Diego","California",583,2,94800
"San Diego","California",96,2,55000
"San Jose","California",589,2,74000
"Oakland","California",720,3,76800
"Sacramento","California",400,3,60800
"San Diego","California",102,5,43300
"Santa Ana","California",832,5,62000
"Bakersfield","California",552,5,60600
"San Diego","California",474,2,65800
"Santa Ana","California",192,2,67500
"Oakland","California",660,5,55200
"San Francisco","California",311,2,93800
"San Francisco","California",580,4,112500
"San Diego","California",467,3,96300
"Los Angeles","California",1144,5,60400
"Los Angeles","California",156,2,86200
"Santa Ana","California",188,3,94400
"San Jose","California",578,4,84700
"Oakland","California",91,5,58800
"San Diego","California",463,2,44000
"Los Angeles","California",89,3,118800
"San Jose","California",432,2,139700
"San Jose","California",636,3,137500
"Oakland","California",699,4,32900
"San Jose","California",283,5,67900
"Sacramento","California",869,2,67200
"Long Beach","California",150,3,54700
"Los Angeles","California",437,2,63200
"Sacramento","California",392,5,63500
"Los Angeles","California",357,3,237500
"Sacramento","California",432,2,72100
"San Francisco","California",125,5,76200
"San Diego","California",818,2,87000
"Long Beach","California",772,4,59700
"San Francisco","California",134,3,61300
"San Jose","California",129,2,52400
"Oakland","California",336,2,54300
"Fresno","California",214,3,59500
"Long Beach","California",819,2,50000
"San Diego","California",653,3,50700
"San Jose","California",600,4,47500
"Sacramento","California",1014,4,60000
"Oakland","California",109,3,69500
"Los Angeles","California",546,3,75300
"Oakland","California",375,5,76800
